pmid,title,abstract,year,journal,doi,publication_date,authors,keywords,alignment_score,tfidf_alignment_score,bertopic_topic_id,bertopic_is_noise,bertopic_topic_keywords,bertopic_topic_label,is_outlier
33614424,New Year's greeting and overview of World Journal of Orthopedics in 2021.,"On behalf of the Editorial Office of World Journal of Orthopedics ( WJO ), we extend our sincere gratitude to our authors, subscribers, readers, Editorial Board members, and peer reviewers, thanking each and every one for their contributions to WJO in 2020 and with wishes for a Happy New Year. It was the support of all our Editorial Board members and peer reviewers that allowed the Baishideng Publishing Group Inc to successfully carry out the complete peer review, editing and publishing processes for WJO in 2020. We have analyzed the data of WJO 's manuscript submissions and article publications in 2020, the invited manuscripts for 2021, manuscript peer review, composition of Editorial Board, and citation of WJO 's articles, and present the findings here. We expect to be even more productive and to further raise the academic rank of WJO in 2021.",2021,World journal of orthopedics,10.5312/wjo.v12.i2.56,2021-02-18,Jin-Lei Wang; Massimiliano Leigheb,Acknowledgments; Editorial Board; Journal development; New Year's message; World Journal of Orthopedics,0.7474558907572025,0.23125897943207926,4,False,covid19; orthopaedic; pandemic; orthopedic; ai,"Topic 4: covid19, orthopaedic, pandemic",True
33816143,Bibliometric analysis of research on the effects of human immunodeficiency virus in orthopaedic and trauma surgery.,"BACKGROUND: There is little research investigating how human immunodeficiency virus (HIV) affects outcomes in orthopaedic surgery. With advances in treatment, HIV has become a chronic health problem and the chance of orthopaedic surgeons encountering it in clinical practice is increasing. AIM: To ascertain the quantity and quality of peer-reviewed publications in orthopaedic journals about HIV. METHODS: A search of the Web of Science database was carried out, identifying any articles relating to HIV published in orthopaedic journals. These were assessed for geographic origin and level of evidence. RESULTS: Of 48.7% of orthopaedic journals listed on the Web of Science database had published articles relating to HIV. There were 168 articles about HIV in orthopaedic journals with only 40.5% ( n = 68) published in the time frame we analysed (January 2007 to September 2017). Very few articles came from low-income countries and any articles published from that setting were collaborations. All of the articles were low level of evidence. CONCLUSION: There is a need for more high level orthopaedic and trauma research investigating the effects of HIV, particularly research from low-income countries, where higher level research will help to guide improvements in their treatment of its musculoskeletal manifestations and complications.",2021,World journal of orthopedics,10.5312/wjo.v12.i3.169,2021-03-18,Ciaran Brennan; Maritz Laubscher; Sithombo Maqungo; Simon Matthew Graham,Analysis; Bibliometric analysis; Human immunodeficiency virus; Orthopaedic; Research,0.6750169466344109,0.12147938364985138,4,False,covid19; orthopaedic; pandemic; orthopedic; ai,"Topic 4: covid19, orthopaedic, pandemic",True
37662667,Scientific publications on orthopedic surgery from three major East Asian countries (2012-2021).,"BACKGROUND: East Asia is the most dynamic region in the world and includes three major countries: Japan, South Korea and China. Due to rapid economic growth, orthopedics research in East Asia has achieved great advances during the past 10 years. However, the current status of orthopedic research in Japan, South Korea and China is still unclear. AIM: To understand the current status of orthopedic research in Japan, South Korea, and China. METHODS: Journals listed in the ''Orthopedics'' category of Science Citation Index Expanded subject categories were included. The PubMed and Web of Knowledge electronic databases were searched to identify scientific publications from the selected journals written by researchers from Japan, South Korea and China. A systematic analysis was conducted to analyze orthopedic research articles published in the three countries based on the number of articles, study design, impact factors (IFs) and citations. Furthermore, we also ranked the top 10 countries worldwide with the highest publications in the past 10 years. Additionally, we ranked the top 10 countries with the highest number of publications in the world in the past 10 years. Statistical analyses were performed using SPSS 20.0 software (SPSS Inc., Chicago, IL, United States), and statistical results are given in Tables and Figures. The Kruskal-Wallis test and the Mann-Whitney test were used to detect differences between countries. The tendency regarding the number of articles was analyzed by curvilinear regression. A two-tailed P < 0.05 was considered significant. RESULTS: From 2012-2021, a total of 144518 articles were published in the 86 selected orthopedic journals. During this period, the number of worldwide published orthopedic articles has shown an annual increasing trend. A total of 27164 orthopedic research articles were published by Japan, South Korea and China during the past 10 years; 44.32% were from China, 32.98% were from Japan, and 22.70% were from South Korea. From 2012 to 2021, the annual number of articles markedly increased in each of the three countries. Over time, the worldwide share of articles increased substantially in South Korea (3.37% to 6.53%, P < 0.001) and China (5.29% to 9.61%, P < 0.001). However, the worldwide share of articles significantly decreased in Japan (5.22% to 3.80%, P < 0.001). The annual total IFs of articles from China were well above those of articles from Japan and South Korea (36597.69 vs 27244.48 vs 20657.83, P < 0.05). There was no significant difference among the articles in the top 10 high-IF orthopedics journals published from those three countries [South Korea (800) > China (787) > Japan (646), P > 0.05]. CONCLUSION: Over the past 10 years, China's scientific publications in orthopedic journals have shown an increasing trend. Considering the relative scale of the populations, Japan and South Korea have outpaced China with respect to quality.",2023,World journal of orthopedics,10.5312/wjo.v14.i8.641,2023-08-18,Wei-You Chen; Xin Xiao; Cheng Pan; Fei-Hong Huang; Hong-Yuan Xu; Qing-Jun Wei; Hua Jiang,China; Japan; Medical publication; Orthopedics; Research; South Korea,0.6421532874208666,0.14981566374536928,4,False,covid19; orthopaedic; pandemic; orthopedic; ai,"Topic 4: covid19, orthopaedic, pandemic",True
39473512,Research trends in exercise therapy for the treatment of pain in postmenopausal osteoporosis over the past decade: A bibliometric analysis.,"BACKGROUND: Postmenopausal osteoporosis (PMOP) is the most common form of primary osteoporosis among women, and the associated pain often drives patients to seek clinical intervention. Numerous studies have highlighted the unique clinical benefits of exercise therapy (ET) in alleviating PMOP-related pain. However, bibliometric analyses examining collaboration, development trends, and research frontiers in the field of ET for PMOP pain remain scarce. AIM: To explore the research trends in ET for pain treatment in PMOP patients over the past decade. METHODS: All scholarly works were meticulously sourced from the Science Citation Index-Expanded within the prominent Web of Science Core Collection. Utilizing the capabilities of CiteSpace 6.2.R5, we conducted a thorough analysis of publications, authors, frequently cited scholars, contributing nations, institutions, journals of significant citation, comprehensive references, and pivotal keywords. Additionally, our examination explored keyword cooccurrences, detailed timelines, and periods of heightened citation activity. This comprehensive search, from 2014 through 2023, was completed within a single day, on October 11, 2023. RESULTS: In total, 2914 articles were ultimately included in the analysis. There was a rapid increase in annual publication output in 2015, followed by stable growth in subsequent years. Boninger, Michael L, is the most prolific author, whereas Ware JE has the most citations. The United States' global influence is significant, surpassing all other nations. The University of California System and Harvard University are the most influential academic institutions. J Bone Joint Surg Am is the most influential journal in this field. ""Spinal cord injury"" is the keyword that has garnered the most attention from researchers. The developmental pattern in this field is characterized by interdisciplinary fusion, with different disciplines converging to drive progress. CONCLUSION: The academic development of the field of ET for pain in PMOP has matured and stabilized. Clinical management and rehabilitation strategies, along with the mechanisms underlying the relationship between ET and bone resorption analgesia, continue to be the current and future focal points of research in this field.",2024,World journal of orthopedics,10.5312/wjo.v15.i10.950,2024-10-18,Zhao-Qiu Dai; Xiao-Yan Gong; Rong Zhang; Mei-Qin Jin; Wei Lu; Wen Wen; Jie Chen; Fang-Jie Lu; Yi-Fan Yang; Lei Wang; Xiao-Jin He,Bibliometric analysis; CiteSpace; Exercise therapy; Pain; Postmenopausal osteoporosis; Web of Science,0.5920742650331281,0.1800663025546983,-1,True,patients; bone; treatment; results; methods,Noise,True
34754830,Surgical treatment of metastatic bone disease of the distal extremities.,"Metastatic bone disease of the distal extremities, also known as acrometastasis, is very rare. Thus, there is very limited information regarding the clinical manifestations and methods of surgical treatment. The current available literature shows that acrometastases are often encountered in the context of advanced disease and are thus associated with poor patient survival. As metastatic bone disease is generally uncurable, the goal of surgical treatment is to provide the patient with good function with as few complications as possible. In this article, we discuss the clinical manifestation of acrometastases, the methods of surgical intervention, and the expected clinical outcome. Non-surgically managed pathological fractures generally remain ununited; therefore, conservative treatment is reserved for patients with poor general condition or dismal prognosis. The current evidence suggests that in lesions of the lower arm and leg, osteosynthesis (plate and screw fixation or intramedullary nail) is the most common method of reconstruction, whereas local excision or amputation are more commonly used in cases of more distal lesions (such as ankle, foot and hand). Following surgery most patients receive adjuvant radiotherapy, even though its role is poorly documented. Close collaboration between orthopedic surgeons and medical oncologists is necessary to improve patient care and treatment outcome. Further studies are needed in order to provide stronger clinical evidence and improve decision-making, in an effort to optimize the patients' quality of life and avoid the need for revision surgery.",2021,World journal of orthopedics,10.5312/wjo.v12.i10.743,2021-10-18,Jennifer Sebghati; Pendar Khalili; Panagiotis Tsagkozis,Distal extremities; Metastatic bone disease; Pathological fractures; Radiotherapy; Surgery,0.5829201363131893,0.15467232520968738,8,False,bone; treatment; lesions; patient; abc,"Topic 8: bone, treatment, lesions",True
28660144,Worldwide orthopaedic research activity 2010-2014: Publication rates in the top 15 orthopaedic journals related to population size and gross domestic product.,"AIM: To perform a bibliometric analysis of publications rates in orthopedics in the top 15 orthopaedic journals. METHODS: Based on their 2015 impact factor, the fifteen highest ranked orthopaedic journals between January 2010 and December 2014 were used to establish the total number of publications; cumulative impact factor points (IF) per country were determined, and normalized to population size, GDP, and GDP/capita, comparison to the median country output and the global leader. RESULTS: Twenty-three thousand and twenty-one orthopaedic articles were published, with 66 countries publishing. The United States had 8149 publications, followed by the United Kingdom (1644) and Japan (1467). The highest IF was achieved by the United States (24744), United Kingdom (4776), and Japan (4053). Normalized by population size Switzerland lead. Normalized by GDP, Croatia was the top achiever. Adjusting GDP/capita, for publications and IF, China, India, and the United States were the leaders. Adjusting for population size and GDP, 28 countries achieved numbers of publications to be considered at least equivalent with the median academic output. Adjusting GDP/capita only China and India reached the number of publications to be considered equivalent to the current global leader, the United States. CONCLUSION: Five countries were responsible for 60% of the orthopaedic research output over this 5-year period. After correcting for GDP/capita, only 28 of 66 countries achieved a publication rate equivalent to the median country. The United States, United Kingdom, South Korea, Japan, and Germany were the top five countries for both publication totals and cumulative impact factor points.",2017,World journal of orthopedics,10.5312/wjo.v8.i6.514,2017-06-18,Erik Hohmann; Vaida Glatt; Kevin Tetsworth,Bibliometrics; Impact factor; Orthopedic surgery; Publication productivity,0.5815348147661049,0.11552095561428653,4,False,covid19; orthopaedic; pandemic; orthopedic; ai,"Topic 4: covid19, orthopaedic, pandemic",True
37662661,"In vitro laboratory infection research in orthopaedics: Why, when, and how.","The musculoskeletal system involves multiple tissues which are constantly exposed to being exposed to various biological and mechanical stimuli. As such, isolating and studying a particular system from a complex human clinical environment is not always a realistic expectation. On top of that, recruitment limitations, in addition to the nature of orthopaedic interventions and their associated cost, sometimes preclude consideration of human trials to answer a clinical question. Therefore, in this mini review, we sought to rationalize the rapid evolution of biomedical research at a basic scientific level and explain why the perception of orthopaedic conditions has fundamentally changed over the last decades. In more detail, we highlight that the number of orthopaedic in vitro publications has soared since 1990. Last but not least, we elaborated on the minimum requirements for conducting a scientifically sound infection-related laboratory experiment to offer valuable information to clinical practitioners. We also explained the rationale behind implementing molecular biology techniques, ex vivo experiments, and artificial intelligence in this type of laboratory research.",2023,World journal of orthopedics,10.5312/wjo.v14.i8.598,2023-08-18,Konstantinos Tsikopoulos; Lorenzo Drago; Gabriele Meroni; Dimitrios Kitridis; Byron Chalidis; Fotios Papageorgiou; Paraskevi Papaioannidou,Biofilm; In vitro; Laboratory research; Methodology,0.5669897723548195,0.13930182587107298,4,False,covid19; orthopaedic; pandemic; orthopedic; ai,"Topic 4: covid19, orthopaedic, pandemic",True
38464353,"Limb Lengthening and Reconstruction Society orthopedic surgeons in the United States: An analysis of geographical distribution, academic, leadership, and demographic characteristics.","BACKGROUND: The Limb Lengthening and Reconstruction Society (LLRS) is a premier orthopedic specialty organization that promotes limb reconstruction for all ages. LLRS membership characteristics, however, are poorly reported. This study delineates orthopedic surgeon LLRS members' demographic traits, academic achievement, leadership attainment, and geographical distribution across the United States. AIM: To inform aspiring orthopedic professionals, as well as to promote growth and diversity in both the LLRS organization and overarching field. METHODS: This cross-sectional study examined United States LLRS members' academic, leadership, demographic, and geographical attributes. After reviewing the 2023 LLRS member directory, Google search results were matched to the listings and appended to the compiled data. Sex and ethnicity were evaluated visually utilizing retrieved images. The Hirsch index (H-index) of academic activity, residency and fellowship training, other graduate degrees, leadership positions, practice type (academic or non-academic), and spoken languages were categorized. LLRS members per state and capita determined geographic distribution. The Mann-Whitney U test was applied to compare H-index between males and females, as well as to assess member differences pertaining to affiliation with academic vs non-academic practice facilities. RESULTS: The study included 101 orthopedic surgeons, 78 (77.23%) Caucasian and 23 (22.77%) non-Caucasian, 79 (78.22%) male and 22 (21.78%) female. Surgeons with DO degrees comprised only 3.96% (4) of the cohort, while the vast majority held MDs [96.04% (97)]. Mean H-index was 10.55, with male surgeons having a significantly higher score ( P = 0.002). Most orthopedic surgeons (88.12%,) practiced in academic centers. Of those professionals who occupied leadership positions, 14% were women, while 86% were men. Additionally, 19 (37.25%) United States regions and the District of Columbia lacked an LLRS-member orthopedic surgeon. Total per capita rate across the United States was 0.30 LLRS orthopedic surgeons per 1 million people. CONCLUSION: Over 21% of LLRS members are women, surpassing prior benchmarks noted in orthopedic faculty reporting. LLRS members' high research productivity scores imply field dedication that can refine expertise in the limb lengthening and reconstruction space. Gender disparities in leadership remain, however, necessitating greater equity efforts. A low rate of LLRS representation per capita must be addressed geographically as well, to affect improvements in regional care access. This study can serve to support aspiring orthopedic professionals, inform diversity, leadership, and field advancement strategies, and maintain the continued goal of enhanced patient care worldwide.",2024,World journal of orthopedics,10.5312/wjo.v15.i2.147,2024-02-18,Amir Human Hoveidaei; Reza Niakan; Seyed Hossein Hosseini-Asl; Abijith Annasamudram; Janet D Conway,Limb lengthening and reconstruction; Orthopedic fellowships; Orthopedic surgeon demographics; Orthopedic surgeon societal membership,0.5638593893425747,0.10514422387102276,4,False,covid19; orthopaedic; pandemic; orthopedic; ai,"Topic 4: covid19, orthopaedic, pandemic",True
41480508,Advancing global orthopedic research through culturally adapted outcome measures.,"Patient-reported outcome measures (PROMs) are essential in orthopedic research and clinical practice, promoting standardized assessments of treatment efficacy and patient well-being. However, their validity across diverse populations depends on rigorous processes of translation, cultural adaptation, and validation. AlMousa et al successfully validated the Arabic version of the American Academy of Orthopedic Surgeons Foot and Ankle Outcomes Questionnaire, demonstrating strong reliability and clinical applicability for Arabic-speaking patients with traumatic foot and ankle injuries. This article highlights the vital role of culturally adapted PROMs in expanding the global scope of orthopedic research, enhancing patient-centered care, and promoting international collaboration. By addressing linguistic and cultural barriers, such adaptations support a more comprehensive and inclusive approach to evidence-based medicine. Future research should aim to optimize the integration of adapted PROMs into clinical practice, evaluate their influences on treatment decision-making, and investigate their functions in large-scale multicenter studies to further globally advance orthopedic research.",2025,World journal of orthopedics,10.5312/wjo.v16.i12.111583,2025-12-18,Yao Peng; Qiang-Qiang You; Fa Shu; Jia-Qi Zhang,Cultural adaptation; Evidence-based medicine; Foot and ankle injuries; Orthopedic research; Patient-reported outcome measures,0.5629769137582301,0.16397194047557348,-1,True,patients; bone; treatment; results; methods,Noise,True
36312521,Baishideng's Reference Citation Analysis database announces the first Journal Article Influence Index of 104 core journals and a list of high-quality academic journals in orthopedics.,"After three rounds of rigorous evaluation of core journals in orthopedics conducted by the Reference Citation Analysis ( RCA ) editorial team of Baishideng Publishing Group (Baishideng), the RCA database of Baishideng officially released the 2022 Journal Article Influence Index (2022 JAII ) of 104 core journals and a list of high-quality academic journals in orthopedics, for the first time on August 9, 2022. The list of 104 core journals can be found at: https://www.referencecitationanalysis.com/SearchJournal. Among them, the highest 2022 JAII is 55.015 and the lowest is 3.076. This article introduces the 21 high-quality academic journals and describes the calculation method for the 2022 JAII , the evaluation process, and the inclusion principles for journals in the RCA . These steps are the underpinning of the RCA 's empirical journal academic evaluation service by which the digital platform addresses the needs of authors to select reliable journals for submission, readers to select high-quality literature for reading, and editors to track their own journal citation performance. As such, the RCA core journal list will serve as a useful Find-a-Journal tool. Any interested party is welcome to use this journal list and recommend it to their peers.",2022,World journal of orthopedics,10.5312/wjo.v13.i10.891,2022-10-18,Jin-Lei Wang; Yu-Jie Ma; Li Ma; Na Ma; Diao-Mei Guo; Lian-Sheng Ma,Announcement; Find a journal; Journal Article Influence Index; Journal list; Orthopedics; Reference Citation Analysis,0.5606287872142863,0.2571288870953105,4,False,covid19; orthopaedic; pandemic; orthopedic; ai,"Topic 4: covid19, orthopaedic, pandemic",True
