year,count,mean,median,std,min,max
2015,119,0.33879116937290554,0.34196063824995604,0.0670861848932089,0.1684843868173193,0.49718380810289897
2016,111,0.32321675061658045,0.327907644280261,0.08204894740938307,0.034925458349673054,0.5202590279291677
2017,125,0.32805873603465907,0.3288785055724911,0.0783635395856298,0.10694551317698903,0.5815348147661049
2018,40,0.3416201428526161,0.34416738701203486,0.0633867703248535,0.19801643037501182,0.4620763230825605
2019,48,0.34584862036075664,0.34203809706977784,0.07004110310627211,0.19984601912117994,0.4976245719000727
2020,64,0.35558775125682984,0.34690367515656706,0.08503572350951849,0.18463194225784504,0.5577261561085511
2021,98,0.3580142331357308,0.34758559211542495,0.09582137798153324,0.1569738548482744,0.7474558907572025
2022,102,0.34906599273571604,0.35086836722907666,0.07766300888222914,0.1390164325371269,0.5606287872142863
2023,90,0.3426211402178755,0.33969789877410955,0.07998792779987347,0.1267589722079632,0.6421532874208666
2024,140,0.3450361322359833,0.3419923076314345,0.08144763396949561,0.08500917619771331,0.5920742650331281
2025,163,0.34868257046515744,0.3530341988875011,0.07756776158824201,0.12391218709643222,0.5629769137582301
